claim,rating,date,category,origin_domain,url
N/A,Does image show Lindsey Graham posing with shirtless UFC fighters? | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/lindsey-graham-ufc-fighters/
N/A,"Social Security checks weren't renamed 'federal benefit payments,' despite claims | Snopes.com",N/A,N/A,N/A,https://www.snopes.com/fact-check/social-security-benefit-payment/
N/A,"Don't believe story about heroic 'K9 Valor' surviving suicide bombing, saving 47 soldiers | Snopes.com",N/A,N/A,N/A,https://www.snopes.com/fact-check/k9-valor-medal-honor-story/
N/A,Did beluga whale escape captivity in Alaska to reunite with its calf? | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/beluga-whale-escape-captivity/
N/A,Did Karoline Leavitt say unemployment rate under Trump is at 'historic low'? Here's the truth | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/karoline-leavitt-unemployment-rate/
N/A,"Does image show barbed wire fencing, guard towers around reflecting pool? Don't be fooled | Snopes.com",N/A,N/A,N/A,https://www.snopes.com/fact-check/reflecting-pool-barbed-wire-towers/
N/A,Darializa Avila Chevalier once tweeted that she wiped her hands on American flag | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/chevalier-american-flag-tweet/
N/A,Image of alleged 'pedos' billboard in Texas is fake. We found the real one | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/texas-pedos-billboard-fake/
N/A,Posts sharing James Talarico quote about hating Christianity omit context | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/talarico-hates-christianity-quote/
N/A,Why is Trump admin blocking the Gordie Howe Bridge opening? Unpacking campaign donation rumor | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/trump-blocking-gordie-howe-bridge/
N/A,Did fencing go up around reflecting pool in June 2026? | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/fencing-around-reflecting-pool/
N/A,Does footage show Albanians protesting Jared Kushner's island development project? | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/albanians-protest-kushner-island/
N/A,Trump wasn't sitting on towel during Fox News interview. Here's what you're actually seeing | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/trump-sitting-towel-fox/
N/A,Did Hegseth once say he hadn't washed his hands in 10 years? | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/hegseth-washing-hands-germs/
N/A,Don't fall for fake image of Donald and Ivanka Trump with Epstein | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/donald-ivanka-trump-epstein-photo/
N/A,Did JPMorgan Chase fire DEI executive who stole Knicks trash can? What we know | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/jpmorgan-chase-knicks-trash-can/
N/A,Misleading posts compare Obama Presidential Center's ID requirement to voter ID laws | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/obama-presidential-center-id/
N/A,Unpacking claim Oklahoma judge ruled woman 'not allowed to speak abuser's name' | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/oklahoma-judge-speak-abuser-name/
N/A,Iran soccer team's message thanked LA for hospitality after World Cup match | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/iran-thanked-la-world-cup/
N/A,Did Trump's motorcade drive through newly painted reflecting pool? | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/trump-motorcade-reflecting-pool/
N/A,Fact Checks Archive | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/?pagenum=0
N/A,Fact Checks Archive | Page 2 | Snopes.com,N/A,N/A,N/A,https://www.snopes.com/fact-check/?pagenum=2
